month,year,route_id,route_name,vessel_id,vessel_name,distance_nm,voyages,available_seats,passengers,occupancy,vehicles,avg_ticket_eur,passenger_revenue,vehicle_revenue,ancillary_revenue,freight_revenue,revenue,fuel_tons,fuel_price_eur_ton,fuel_cost,crew_cost,port_cost,maintenance_cost,catering_cost,distribution_cost,other_variable_cost,variable_cost,contribution,fixed_allocated,ebitda,contribution_margin,ebitda_margin,revenue_per_sailing,cost_per_sailing,revenue_per_passenger,cost_per_available_seat_nm,revenue_per_available_seat_nm,break_even_occupancy
2024-01-01,2024,DEN-IBZ,Dénia–Ibiza,V03,Costa Dénia,124,33,29700,12775,0.4301326080101457,3422,63.03237582318686,805238.6011412122,182747.0474703921,122139.80416153304,439258.3355982641,1549383.7883714014,1279.5704291456827,625,799731.5182160517,269544.0,184965.0,144726.2972176162,58764.99999999999,55777.816381370445,32537.05955579943,1546046.6913708376,3337.09700056375,298500.0,-295162.90299943625,0.002153822071464593,-0.19050341510910596,46951.02389004247,55895.35428396478,121.28248832652848,0.5008544290677848,0.42070809937314035,0.5120743387858648
2024-01-01,2024,DEN-FOR,Dénia–Formentera,V01,Levante Star,112,31,25420,11639,0.4578611563944887,2590,57.39306700479425,667997.9068688003,136795.0164910483,107992.19880364288,379879.03082246706,1292664.1529859584,981.6173291007714,625,613510.8306879821,247380.0,170159.0,152636.1243350946,53539.399999999994,46535.9095074945,27145.947212705127,1310907.2117432763,-18243.05875731795,291040.0,-309283.05875731795,-0.01411275984963135,-0.23926018064544996,41698.84364470834,51675.716507847625,111.06316289938641,0.5626711292230795,0.45403793167147577,0.5674090993839687
2024-01-01,2024,DEN-PMI,Dénia–Mallorca,V05,Balear Express,198,20,26400,11767,0.44571019127644246,2634,78.23903670793324,920638.7449422504,161314.66292561192,109143.86134103789,327494.88592819095,1518592.1551370912,1092.5275216979421,625,682829.7010612139,187800.0,124280.0,110761.10743101641,54128.2,54669.31758493528,31890.43525787892,1246358.7613350444,272233.3938020468,339790.0,-67556.60619795322,0.17926695649067861,-0.0444863395148084,75929.60775685456,79307.43806675222,129.0551674290041,0.3034413761354156,0.29051732383247075,0.46553820617077646
2024-01-01,2024,BCN-PMI,Barcelona–Mallorca,V04,Mediterráneo,205,21,31080,12568,0.40438137488524,3122,69.95941588344381,879249.9388231218,194087.69184551525,126054.65148048189,344980.24505840684,1544372.527207526,1413.7526348167648,625,883595.396760478,270228.0,135366.0,138242.87153817125,57812.799999999996,55597.41097947093,32431.823071358045,1573274.3023494785,-28901.77514195256,382760.0,-411661.77514195256,-0.018714251019610936,-0.2665560076274494,73541.5489146441,93144.4905880704,122.88132775362237,0.3070022761637126,0.24239139391774586,0.5121716597335485
2024-01-01,2024,BCN-IBZ,Barcelona–Ibiza,V05,Balear Express,276,22,29040,11298,0.3890489011008308,2775,82.55363771488092,932690.9989027246,199369.40166609263,113816.3254561483,413222.14040656417,1659098.8664315296,1935.708796752464,625,1209817.99797029,309980.0,136708.0,151592.3140786595,51970.799999999996,59727.55919153506,34841.07619506212,1954637.7474355467,-295538.8810040171,382290.0,-677828.8810040171,-0.1781321698083469,-0.40855243452846446,75413.5848377968,106223.98851979757,146.84889948942552,0.29156782092610223,0.20699820168477384,0.5479957767961989
2024-01-01,2024,VAL-PMI,Valencia–Mallorca,V02,Marina Azul,260,20,25200,10866,0.43120575099664227,2338,74.16902148839203,805920.5874928678,164902.49982070772,105681.14498545138,321793.52312266943,1398297.7554216965,1567.1766339128906,625,979485.3961955566,263000.0,122540.0,117916.24382608503,49983.6,50338.71919518107,29364.25286385563,1612628.2120806782,-214330.45665898174,369470.0,-583800.4566589817,-0.1532795542494054,-0.4175079695260757,69914.88777108482,99104.91060403391,128.68560237637553,0.3025180421368556,0.21341540833664477,0.611237588543217
2024-01-01,2024,VAL-IBZ,Valencia–Ibiza,V05,Balear Express,165,20,26400,10032,0.38,2136,67.86653753912466,680837.1045924986,128422.61907459355,100670.48495492067,298478.63086842484,1208408.8394904376,1142.9083302298377,625,714317.7063936485,225400.0,124280.0,111327.50840270978,46147.2,43502.71822165575,25376.585629299192,1290351.7186473133,-81942.87915687566,356790.0,-438732.87915687566,-0.0678105592072873,-0.36306659204998926,60420.441974521884,82357.08593236566,120.45542658397504,0.37813170767844656,0.2774124975873365,0.517965304978996
2024-02-01,2024,DEN-IBZ,Dénia–Ibiza,V01,Levante Star,124,30,24600,11017,0.4478402186341754,2538,60.5843516345096,667457.8019573923,138732.10575125206,107306.14370809532,399602.92399293644,1313098.975409676,1054.316623011276,625,658947.8893820476,245040.0,164670.0,133585.17814377462,50678.2,47271.56311474834,27575.0784836032,1327767.9091241737,-14668.933714497602,292740.0,-307408.9337144976,-0.011171232320793652,-0.23410949172250214,43769.9658469892,54016.930304139125,119.18843382133758,0.5312443971689528,0.43046779943931157,0.5526838645915164
2024-02-01,2024,DEN-FOR,Dénia–Formentera,V03,Costa Dénia,112,31,27900,12817,0.45939484505844214,2875,55.51094593155901,711483.7940047918,151819.85614440145,127553.92613230541,387017.38516353955,1377874.9614450382,975.0287072929157,625,609392.9420580723,247380.0,173755.0,135137.7763807079,58958.2,49603.49861202137,28935.374190345803,1303162.7912411473,74712.17020389088,296800.0,-222087.82979610912,0.05422275046317478,-0.16118141051289286,44447.579401452844,51611.70294326282,107.503703007337,0.5120208625323692,0.4409482083477465,0.5334407541673137
2024-02-01,2024,DEN-PMI,Dénia–Mallorca,V02,Marina Azul,198,21,26460,11502,0.4346812858606814,2876,77.08316483393449,886610.5619199144,185306.35025310353,115985.46581779864,326166.2857799395,1514068.663770756,1080.8822866434327,625,675551.4291521455,197190.0,128667.0,133783.51407882373,52909.2,54506.471895747214,31795.44193918588,1274403.0570659023,239665.6067048537,335470.0,-95804.39329514629,0.15829242916102074,-0.06327612187451755,72098.50779860743,76660.62176504296,131.63525158848512,0.3072816328565134,0.28899514108789254,0.4621862318813738
2024-02-01,2024,BCN-PMI,Barcelona–Mallorca,V05,Balear Express,205,20,26400,10549,0.39957991615120636,2278,71.3451939702644,752620.4511923192,142355.66266902152,106787.58118632394,344714.9212847341,1346478.6163323987,1401.1981990107718,625,875748.8743817323,257360.0,124280.0,122635.29142624419,48525.399999999994,48473.23018796635,28276.050942980375,1505298.846938923,-158820.23060652427,371240.0,-530060.2306065243,-0.11795228582175796,-0.39366405390850323,67323.93081661993,93826.94234694615,127.640403482074,0.3467366679488032,0.24879501410428653,0.5568801658037101
2024-02-01,2024,BCN-IBZ,Barcelona–Ibiza,V04,Mediterráneo,276,20,29600,12132,0.4098567539807744,2847,81.79009029143431,992277.375415681,204754.4917097638,116308.7404322704,381428.16526911705,1694768.7728268323,1583.7360237898856,625,989835.0148686785,281800.0,128920.0,138023.40964270316,55807.2,61011.67582176596,35590.14422936348,1690987.444562511,3781.3282643212005,393810.0,-390028.6717356788,0.0022311765032193972,-0.2301368056747474,84738.4386413416,104239.87222812555,139.69409601276232,0.2551896597829161,0.20744819487206623,0.5041798781261306
2024-02-01,2024,VAL-PMI,Valencia–Mallorca,V04,Mediterráneo,260,20,29600,12036,0.40660913195957865,2445,76.89596222625424,925519.801355196,173986.29223173624,119619.5355200248,367354.7054102284,1586480.3345171856,1518.8281047052592,625,949267.565440787,263000.0,128920.0,133290.0817503318,55365.6,57113.292042618676,33316.0870248609,1620272.6262585986,-33792.291741413064,385310.0,-419102.29174141306,-0.021300164273197305,-0.26417112309744367,79324.01672585928,100279.13131292994,131.81126076081634,0.26060065310012975,0.2061434946098214,0.5140235230110172
